5	6	4	3
3
4	20	100	10   22
200
4	1	189	7	(137,6),(203,11),(369,6),(374,17),(502,11),(628,15),(742,5)
10	2	131	10	(14,19),(102,14),(199,20),(310,13),(436,20),(452,12),(464,9),(550,17),(566,15),(675,5)
10	3	204	2	(6,17),(169,9)
14	4	233	3	(230,18),(279,20),(414,20)
17	5	113	8	(63,5),(131,15),(191,12),(282,20),(345,20),(375,12),(445,8),(447,15)
20	6	293	10	(103,12),(146,18),(155,11),(272,17),(547,12),(817,8),(920,17),(937,15),(1164,17),(1277,15)
20	7	106	9	(23,9),(86,14),(170,10),(195,6),(222,10),(266,15),(269,6),(281,13),(300,8)
26	8	172	8	(129,16),(165,15),(333,7),(447,15),(499,20),(664,16),(747,12),(812,7)
31	9	32	2	(29,16),(36,19)
35	10	295	4	(63,15),(108,17),(228,16),(327,11)
37	11	194	0	
41	12	38	9	(25,18),(43,16),(73,16),(78,20),(110,16),(112,14),(147,14),(178,12),(183,14)
44	13	148	2	(49,6),(172,18)
48	14	40	10	(10,20),(41,11),(42,20),(51,6),(61,19),(73,7),(110,17),(139,20),(179,9),(200,17)
54	15	98	6	(6,7),(84,16),(153,13),(216,11),(252,18),(274,8)
59	16	250	2	(52,20),(299,6)
63	17	289	10	(113,18),(245,17),(458,7),(467,17),(687,12),(915,13),(1199,10),(1429,14),(1505,17),(1665,15)
70	18	292	9	(44,11),(318,13),(326,17),(563,9),(581,8),(764,8),(931,6),(1155,14),(1359,5)
73	19	95	0	
78	20	236	5	(9,17),(178,17),(273,11),(462,6),(500,18)
79	21	63	5	(4,11),(23,10),(61,20),(74,19),(123,5)
83	22	202	4	(144,20),(301,10),(400,6),(581,12)
86	23	241	5	(201,17),(399,6),(521,10),(611,7),(617,12)
92	24	140	10	(86,19),(172,13),(300,19),(360,13),(470,14),(554,13),(625,11),(693,5),(813,6),(884,9)
98	25	97	10	(73,12),(155,8),(250,6),(269,7),(326,20),(394,10),(438,7),(466,16),(560,16),(614,13)
105	26	38	3	(23,19),(53,8),(61,7)
112	27	134	3	(45,8),(53,19),(186,5)
119	28	185	2	(67,5),(227,6)
122	29	250	6	(39,20),(105,12),(284,13),(341,16),(551,20),(576,14)
126	30	298	3	(184,14),(321,7),(460,7)
128	31	153	6	(12,13),(32,6),(33,6),(62,12),(124,6),(156,7)
131	32	167	9	(98,17),(238,13),(375,20),(496,12),(632,14),(683,14),(772,20),(916,17),(965,14)
137	33	120	3	(79,8),(99,13),(184,15)
142	34	144	9	(137,20),(158,8),(216,19),(300,17),(407,19),(475,15),(598,16),(728,19),(807,13)
144	35	88	4	(58,17),(70,14),(109,13),(150,6)
147	36	68	10	(41,7),(63,10),(119,5),(126,13),(168,8),(231,15),(249,19),(316,11),(317,16),(318,11)
147	37	99	2	(2,15),(42,13)
148	38	249	9	(41,19),(142,6),(204,10),(261,12),(508,17),(592,14),(838,9),(869,10),(1105,7)
150	39	107	2	(8,17),(107,15)
156	40	197	0	
163	41	64	5	(13,17),(14,20),(77,19),(111,11),(157,11)
164	42	252	3	(119,15),(159,7),(185,17)
165	43	206	10	(111,20),(111,7),(290,19),(313,13),(316,8),(320,8),(385,8),(499,11),(667,8),(802,19)
171	44	211	0	
178	45	75	8	(42,19),(75,8),(85,10),(150,13),(224,15),(264,13),(299,7),(343,18)
181	46	274	1	(167,9)
181	47	204	9	(64,6),(254,15),(257,19),(428,5),(541,18),(669,19),(738,12),(813,8),(1001,9)
185	48	300	4	(219,18),(252,14),(536,13),(697,14)
189	49	23	1	(4,10)
196	50	145	3	(41,20),(62,8),(157,19)
200	51	27	7	(12,19),(37,7),(37,5),(52,12),(73,16),(80,9),(86,12)
206	52	52	1	(39,8)
213	53	247	7	(137,16),(346,5),(358,13),(496,10),(508,10),(734,8),(816,19)
220	54	81	3	(81,10),(156,6),(170,12)
226	55	210	3	(16,5),(22,6),(198,18)
232	56	128	10	(69,9),(180,15),(308,16),(372,18),(431,5),(525,12),(620,17),(644,6),(655,5),(675,13)
237	57	154	9	(39,14),(44,8),(100,15),(229,20),(237,6),(281,15),(410,12),(496,20),(567,15)
244	58	66	0	
249	59	110	2	(85,15),(149,19)
256	60	17	10	(14,19),(17,20),(34,13),(50,18),(60,5),(69,10),(77,12),(80,13),(94,8),(100,16)
258	61	46	5	(26,9),(44,13),(52,18),(54,12),(86,13)
263	62	103	8	(45,20),(147,5),(194,8),(259,5),(300,11),(312,11),(359,18),(367,6)
266	63	281	1	(46,11)
270	64	144	3	(67,6),(159,11),(259,20)
276	65	144	1	(122,10)
279	66	293	4	(241,10),(447,20),(471,7),(635,15)
280	67	243	1	(238,11)
285	68	170	7	(66,8),(130,18),(186,6),(187,14),(287,20),(453,10),(568,5)
285	69	188	7	(104,15),(110,20),(286,6),(461,15),(497,8),(669,11),(749,8)
290	70	108	2	(5,6),(53,15)
292	71	260	10	(78,16),(124,18),(249,10),(292,17),(507,7),(602,19),(716,5),(759,13),(1010,14),(1215,8)
293	72	38	7	(13,10),(44,11),(45,11),(65,20),(71,19),(92,11),(119,16)
300	73	229	7	(191,10),(209,12),(434,20),(499,20),(579,18),(763,5),(766,19)
301	74	16	9	(3,9),(12,5),(27,17),(28,20),(32,20),(37,13),(38,18),(41,16),(48,10)
301	75	44	0	
308	76	172	4	(105,18),(188,11),(217,18),(303,5)
310	77	110	8	(107,13),(123,17),(127,17),(189,17),(229,14),(262,14),(294,15),(362,13)
313	78	58	0	
320	79	189	9	(84,18),(207,12),(269,19),(307,9),(309,15),(460,19),(608,15),(742,18),(757,15)
321	80	69	5	(25,19),(77,12),(145,5),(146,7),(175,7)
323	81	124	0	
325	82	191	0	
328	83	191	2	(12,14),(134,15)
335	84	48	3	(12,19),(53,17),(58,14)
